1,-1,570.73,72.80,149.53,236.54,0.8891,-1,-1,-1
1,-1,303.38,155.21,122.91,238.19,0.8689,-1,-1,-1
1,-1,415.14,140.12,153.01,270.14,0.8426,-1,-1,-1
1,-1,1079.52,126.53,174.30,338.25,0.7891,-1,-1,-1
1,-1,12.96,96.50,244.12,296.30,0.5800,-1,-1,-1
1,-1,1207.63,122.20,72.37,284.00,0.4609,-1,-1,-1
2,-1,596.13,58.77,147.89,235.19,0.9027,-1,-1,-1
2,-1,326.41,141.35,121.06,242.55,0.8454,-1,-1,-1
2,-1,1109.53,124.89,169.53,323.79,0.8213,-1,-1,-1
2,-1,34.46,82.95,258.39,288.21,0.7580,-1,-1,-1
2,-1,962.97,289.76,90.53,106.53,0.6806,-1,-1,-1
2,-1,443.31,118.56,153.16,285.13,0.6542,-1,-1,-1
3,-1,617.02,47.52,149.90,233.24,0.9113,-1,-1,-1
3,-1,341.52,114.48,124.74,253.28,0.8636,-1,-1,-1
3,-1,1125.29,119.15,154.71,335.66,0.8207,-1,-1,-1
3,-1,1022.70,161.90,127.02,169.59,0.7444,-1,-1,-1
3,-1,53.19,60.40,247.02,292.85,0.7412,-1,-1,-1
3,-1,450.33,105.11,156.26,275.25,0.7023,-1,-1,-1
3,-1,963.82,281.69,87.42,108.96,0.6571,-1,-1,-1
3,-1,746.06,289.82,53.31,86.44,0.5949,-1,-1,-1
3,-1,0.25,37.51,53.39,321.66,0.3746,-1,-1,-1
4,-1,633.40,57.97,144.75,229.51,0.9172,-1,-1,-1
4,-1,1035.93,170.01,122.91,172.04,0.8345,-1,-1,-1
4,-1,359.19,122.77,122.01,252.12,0.8035,-1,-1,-1
4,-1,1138.31,121.35,141.69,344.59,0.7939,-1,-1,-1
4,-1,479.63,112.33,147.38,290.65,0.7042,-1,-1,-1
4,-1,80.36,63.97,235.24,294.81,0.5416,-1,-1,-1
4,-1,0.34,12.59,74.56,360.72,0.4453,-1,-1,-1
4,-1,961.19,294.57,84.61,107.22,0.4336,-1,-1,-1
5,-1,643.09,79.09,142.66,227.88,0.9175,-1,-1,-1
5,-1,368.86,133.20,121.65,260.84,0.8659,-1,-1,-1
5,-1,475.68,130.50,153.11,286.47,0.8531,-1,-1,-1
5,-1,1132.03,147.17,147.97,336.12,0.8246,-1,-1,-1
5,-1,108.32,87.29,211.13,298.27,0.7670,-1,-1,-1
5,-1,0.77,38.96,95.03,498.78,0.3260,-1,-1,-1
6,-1,660.05,84.88,146.47,232.30,0.9177,-1,-1,-1
6,-1,1135.74,160.47,144.26,332.81,0.8112,-1,-1,-1
6,-1,487.23,138.33,159.27,288.19,0.7825,-1,-1,-1
6,-1,382.30,154.07,123.22,244.41,0.7632,-1,-1,-1
6,-1,158.05,126.43,185.75,287.80,0.7602,-1,-1,-1
6,-1,1.10,8.15,145.90,448.61,0.6428,-1,-1,-1
6,-1,837.56,324.04,53.89,47.82,0.5055,-1,-1,-1
6,-1,953.10,318.27,72.34,109.43,0.4443,-1,-1,-1
7,-1,691.15,84.30,149.09,226.07,0.8980,-1,-1,-1
7,-1,527.00,143.36,154.95,279.56,0.7956,-1,-1,-1
